Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","124","Canada","5608","Import quantity","02112","Buffalo","2019","2019","An","2","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5622","Import value","02112","Buffalo","2019","2019","1000 USD","4","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5608","Import quantity","02112","Buffalo","2021","2021","An","9","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5622","Import value","02112","Buffalo","2021","2021","1000 USD","11","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5609","Import quantity","02151","Chickens","2019","2019","1000 An","27706","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5622","Import value","02151","Chickens","2019","2019","1000 USD","55688","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5609","Import quantity","02151","Chickens","2020","2020","1000 An","36093","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5622","Import value","02151","Chickens","2020","2020","1000 USD","59643","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5609","Import quantity","02151","Chickens","2021","2021","1000 An","37770","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5622","Import value","02151","Chickens","2021","2021","1000 USD","63632","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5609","Import quantity","02151","Chickens","2022","2022","1000 An","31890","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5622","Import value","02151","Chickens","2022","2022","1000 USD","65821","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5609","Import quantity","02151","Chickens","2023","2023","1000 An","30945","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5622","Import value","02151","Chickens","2023","2023","1000 USD","73145","A","Official figure",""
"TCL","Crops and livestock products","159","China","5608","Import quantity","02112","Buffalo","2021","2021","An","30","A","Official figure",""
"TCL","Crops and livestock products","159","China","5622","Import value","02112","Buffalo","2021","2021","1000 USD","31","A","Official figure",""
"TCL","Crops and livestock products","159","China","5608","Import quantity","02112","Buffalo","2023","2023","An","230","A","Official figure",""
"TCL","Crops and livestock products","159","China","5622","Import value","02112","Buffalo","2023","2023","1000 USD","199","A","Official figure",""
"TCL","Crops and livestock products","159","China","5609","Import quantity","02151","Chickens","2019","2019","1000 An","8285","E","Estimated value",""
"TCL","Crops and livestock products","159","China","5622","Import value","02151","Chickens","2019","2019","1000 USD","62870","A","Official figure",""
"TCL","Crops and livestock products","159","China","5609","Import quantity","02151","Chickens","2020","2020","1000 An","9824","E","Estimated value",""
"TCL","Crops and livestock products","159","China","5622","Import value","02151","Chickens","2020","2020","1000 USD","60634","A","Official figure",""
"TCL","Crops and livestock products","159","China","5609","Import quantity","02151","Chickens","2021","2021","1000 An","11944","E","Estimated value",""
"TCL","Crops and livestock products","159","China","5622","Import value","02151","Chickens","2021","2021","1000 USD","66991","A","Official figure",""
"TCL","Crops and livestock products","159","China","5609","Import quantity","02151","Chickens","2022","2022","1000 An","8987","E","Estimated value",""
"TCL","Crops and livestock products","159","China","5622","Import value","02151","Chickens","2022","2022","1000 USD","44075","A","Official figure",""
"TCL","Crops and livestock products","159","China","5609","Import quantity","02151","Chickens","2023","2023","1000 An","9812","E","Estimated value",""
"TCL","Crops and livestock products","159","China","5622","Import value","02151","Chickens","2023","2023","1000 USD","51371","A","Official figure",""
"TCL","Crops and livestock products","392","Japan","5609","Import quantity","02151","Chickens","2019","2019","1000 An","467","A","Official figure",""
"TCL","Crops and livestock products","392","Japan","5622","Import value","02151","Chickens","2019","2019","1000 USD","8404","A","Official figure",""
"TCL","Crops and livestock products","392","Japan","5609","Import quantity","02151","Chickens","2020","2020","1000 An","338","A","Official figure",""
"TCL","Crops and livestock products","392","Japan","5622","Import value","02151","Chickens","2020","2020","1000 USD","6446","A","Official figure",""
"TCL","Crops and livestock products","392","Japan","5609","Import quantity","02151","Chickens","2021","2021","1000 An","494","A","Official figure",""
"TCL","Crops and livestock products","392","Japan","5622","Import value","02151","Chickens","2021","2021","1000 USD","10864","A","Official figure",""
"TCL","Crops and livestock products","392","Japan","5609","Import quantity","02151","Chickens","2022","2022","1000 An","309","A","Official figure",""
"TCL","Crops and livestock products","392","Japan","5622","Import value","02151","Chickens","2022","2022","1000 USD","9250","A","Official figure",""
"TCL","Crops and livestock products","392","Japan","5609","Import quantity","02151","Chickens","2023","2023","1000 An","255","A","Official figure",""
"TCL","Crops and livestock products","392","Japan","5622","Import value","02151","Chickens","2023","2023","1000 USD","7715","A","Official figure",""
